Q #,Scenario,,Question,,,Options,,,,,Correct Answer,,,,,,,,,,,Rationale,,,,,HIPAA Section,Workforce Group,,HIPAA Rule,,,,,,,HIPAA Topic Name,,,,,,,,,Description of Topic (OCR Audited Focus),,,,,
1,"Scenario: Treatment and Clinical Safeguards: Dr. Chen, a hospitalist, is treating Mr. Davies, a patient recovering from a stroke. Dr. Chen requests Mr. Davies’s entire medical history from an outpatient clinic. Nurse Rita is using a mobile workstation near the patient’s bedside.",,Dr. Chen is requesting Mr. Davies’s complete medical history from the clinic for treatment purposes. Which rule governs the degree of information Dr. Chen is entitled to receive?,,,A. The disclosure must be limited to the minimum necessary amount.B. The minimum necessary requirement does not apply to disclosures for treatment.C. The minimum necessary requirement applies only if authorization is obtained.D. The disclosure must be limited only to information created within the last year.,,,,,B. The minimum necessary requirement does not apply to disclosures for treatment.,,,,,,,,,,,"Disclosures to, or requests by, a health care provider for treatment are explicitly exempt from the Minimum Necessary standard.",,,,,§ 164.502 (b)(2)(i),Clinical Staff,,Privacy Rule,,,,,,,Minimum necessary: uses,,,,,,,,,Requirement to limit workforce uses of PHI to the minimum necessary and to define role based access.,,,,,
2,"Scenario: Treatment and Clinical Safeguards: Dr. Chen, a hospitalist, is treating Mr. Davies, a patient recovering from a stroke. Dr. Chen requests Mr. Davies’s entire medical history from an outpatient clinic. Nurse Rita is using a mobile workstation near the patient’s bedside.",,"Nurse Rita temporarily steps away from the mobile workstation while Mr. Davies’s chart is visible. She must implement safeguards to protect the PHI, primarily to limit:",,,A. Incidental uses or disclosures made pursuant to a permitted use.B. Unintentional alteration of ePHI.C. Patient’s right to access.D. The volume of the designated record set.,,,,,A. Incidental uses or disclosures made pursuant to a permitted use.,,,,,,,,,,,Covered entities must reasonably safeguard protected health information to limit incidental uses or disclosures made pursuant to an otherwise permitted or required use.,,,,,§ 164.530 (c)(2)(ii),"Clinical Staff, All Staff",,Privacy Rule,,,,,,,Privacy safeguards,,,,,,,,,"Administrative, technical, and physical safeguards to protect PHI and limit incidental uses/disclosures.",,,,,
3,"Scenario: Treatment and Clinical Safeguards: Dr. Chen, a hospitalist, is treating Mr. Davies, a patient recovering from a stroke. Dr. Chen requests Mr. Davies’s entire medical history from an outpatient clinic. Nurse Rita is using a mobile workstation near the patient’s bedside.",,The policies requiring Nurse Rita to log into the workstation using a unique user ID and password are an example of fulfilling which required Security Rule implementation specification?,,,A. Unique User Identification (Required).B. Access Authorization (Addressable).C. Automatic Logoff (Addressable).D. Encryption and Decryption (Addressable).,,,,,A. Unique User Identification (Required).,,,,,,,,,,,The standard requires assigning a unique name and/or number for identifying and tracking user identity to ensure activity is traceable.,,,,,§ 164.312 (a)(2)(i),"Clinical Staff, IT, Admin/Billing, Management",,Security Rule,,,,,,,Technical access control,,,,,,,,,"Technical measures (unique user IDs, emergency access, automatic logoff, encryption/decryption) to limit ePHI access.",,,,,
4,"Scenario: Treatment and Clinical Safeguards: Dr. Chen, a hospitalist, is treating Mr. Davies, a patient recovering from a stroke. Dr. Chen requests Mr. Davies’s entire medical history from an outpatient clinic. Nurse Rita is using a mobile workstation near the patient’s bedside.",,"If Dr. Chen uses the PHI for the hospital’s internal quality assessment activities, this activity falls under which category?",,,A. Treatment.B. Health care operations.C. Payment.D. Disclosure to the individual.,,,,,B. Health care operations.,,,,,,,,,,,"Conducting quality assessment and improvement activities, including outcomes evaluation, constitutes health care operations under the Privacy Rule.",,,,,§ 164.501,"Clinical Staff, Management",,Privacy Rule,,,,,,,Uses and disclosures: general,,,,,,,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,
5,"Scenario: Treatment and Clinical Safeguards: Dr. Chen, a hospitalist, is treating Mr. Davies, a patient recovering from a stroke. Dr. Chen requests Mr. Davies’s entire medical history from an outpatient clinic. Nurse Rita is using a mobile workstation near the patient’s bedside.",,"If the hospital contracts with an external consulting firm to analyze recovery data for a study, the hospital must ensure the firm will not use or disclose PHI in a manner that would violate the Privacy Rule if done by the hospital. This is a requirement for:",,,A. Healthcare clearinghouses.B. Health insurance issuers.C. Business associates.D. Affiliated covered entities.,,,,,C. Business associates.,,,,,,,,,,,A business associate may not use or disclose PHI in a manner that would violate HIPAA if done by the covered entity.,,,,,§ 164.502 (a)(3),"Clinical Staff, Admin/Billing, Management",,Privacy Rule,,,,,,,Business associates: privacy,,,,,,,,,"Privacy requirements to disclose PHI to BAs only under compliant contracts, and to limit BA uses/disclosures to the contract and rule.",,,,,
6,"Scenario: Admin Operations and Reimbursement: Sarah, an administrative clerk, is preparing to submit a claim for physical therapy services provided to Ms. Allen. She accesses Ms. Allen’s entire medical chart, including mental health notes unnecessary for claims processing.",,"Sarah’s primary job function involves submitting claims, which is defined under HIPAA as which category of permissible use or disclosure?",,,A. Treatment.B. Health care operations.C. Payment.D. Marketing.,,,,,C. Payment.,,,,,,,,,,,Activities undertaken by a health care provider or plan to obtain or provide reimbursement for health care provision are defined as Payment activities.,,,,,§ 164.501,"Admin and Billing Staff, All Staff",,Privacy Rule,,,,,,,Uses and disclosures: general,,,,,,,,,"Permitted and required uses and disclosures of PHI, including for treatment, payment, health care operations, and via business associates: OCR reviews policies and actual disclosures.",,,,,
7,"Scenario: Admin Operations and Reimbursement: Sarah, an administrative clerk, is preparing to submit a claim for physical therapy services provided to Ms. Allen. She accesses Ms. Allen’s entire medical chart, including mental health notes unnecessary for claims processing.",,"By accessing Ms. Allen’s entire medical chart, including mental health notes unnecessary for claims processing, Sarah is violating which core privacy principle?",,,A. The Authorization Standard.B. The Treatment Exception.C. The De-identification Requirement.D. The Minimum Necessary Standard.,,,,,D. The Minimum Necessary Standard.,,,,,,,,,,,"When using or disclosing PHI for purposes like Payment or Operations, reasonable efforts must be made to limit information to the minimum necessary amount to accomplish the purpose.",,,,,§ 164.502 (b)(1),"Admin and Billing Staff, All Staff",,Privacy Rule,,,,,,,Minimum necessary: uses,,,,,,,,,Requirement to limit workforce uses of PHI to the minimum necessary and to define rolebased access.,,,,,
8,"Scenario: Admin Operations and Reimbursement: Sarah, an administrative clerk, is preparing to submit a claim for physical therapy services provided to Ms. Allen. She accesses Ms. Allen’s entire medical chart, including mental health notes unnecessary for claims processing.",,"Under which circumstance is the Minimum Necessary Standard explicitly stated NOT to apply, making it a critical exception for staff to recognize?",,,A. Disclosures made for health care operations.B. Uses disclosed pursuant to an authorization.C. Disclosures required by law.D. Disclosures to consumer reporting agencies.,,,,,B. Uses disclosed pursuant to an authorization.,,,,,,,,,,,The Minimum Necessary requirement does not apply to disclosures made pursuant to a valid authorization signed by the individual.,,,,,§ 164.502 (b)(2)(iii),"Admin and Billing Staff, All Staff",,Privacy Rule,,,,,,,Minimum necessary: uses,,,,,,,,,Requirement to limit workforce uses of PHI to the minimum necessary and to define rolebased access.,,,,,
9,"Scenario: Admin Operations and Reimbursement: Sarah, an administrative clerk, is preparing to submit a claim for physical therapy services provided to Ms. Allen. She accesses Ms. Allen’s entire medical chart, including mental health notes unnecessary for claims processing.",,"To ensure minimum necessary compliance when determining Sarah’s access rights, the organization must identify which specific factor regarding her job role?",,,A. Whether Sarah has received a patient authorization form.B. The maximum defined data set.C. Category of PHI access needed and any conditions appropriate to that access.D. The likelihood of re-identification of the PHI.,,,,,C. Category of PHI access needed and any conditions appropriate to that access.,,,,,,,,,,,The organization must identify those persons in its workforce who need access to PHI and the category of PHI access needed and any appropriate conditions.,,,,,§ 164.514 (d)(2)(i),"Admin and Billing Staff, All Staff",,Privacy Rule,,,,,,,Minimum necessary: uses,,,,,,,,,Requirement to limit workforce uses of PHI to the minimum necessary and to define rolebased access.,,,,,
10,"Scenario: Admin Operations and Reimbursement: Sarah, an administrative clerk, is preparing to submit a claim for physical therapy services provided to Ms. Allen. She accesses Ms. Allen’s entire medical chart, including mental health notes unnecessary for claims processing.",,"If Sarah requests specific billing info from another covered entity (CE), the organization may rely on the other CE's representation that the info is the minimum necessary, provided the reliance is:",,,A. Documented.B. Reasonable under the circumstances.C. Limited to the past six years.D. Approved by the Privacy Official.,,,,,B. Reasonable under the circumstances.,,,,,,,,,,,"A covered entity may rely, if such reliance is reasonable under the circumstances, on a requested disclosure as the minimum necessary when the info is requested by another CE.",,,,,§ 164.514 (d)(3)(iii),"Admin and Billing Staff, All Staff",,Privacy Rule,,,,,,,Minimum necessary: disclosures,,,,,,,,,Policies to limit routine and nonroutine disclosures to the minimum necessary: reliance rules for certain requestors.,,,,,
